gpu_model,task,model_size,batch_size,image_size,time_type,value
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,2,320,ave_time,0.0034336789511144163
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,2,320,batch_time,0.006867357902228833
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,2,640,ave_time,0.007767595746554434
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,2,640,batch_time,0.015535191493108868
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,2,1088,ave_time,0.02063368639210239
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,2,1088,batch_time,0.04126737278420478
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,4,320,ave_time,0.0023577050771564243
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,4,320,batch_time,0.009430820308625697
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,4,640,ave_time,0.00681318657589145
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,4,640,batch_time,0.0272527463035658
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,4,1088,ave_time,0.018617293873103336
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,4,1088,batch_time,0.07446917549241334
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,8,320,ave_time,0.0021546195988776163
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,8,320,batch_time,0.01723695679102093
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,8,640,ave_time,0.0067263086617458615
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,8,640,batch_time,0.05381046929396689
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,8,1088,ave_time,0.017800083762267604
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,8,1088,batch_time,0.14240067009814084
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,12,320,ave_time,0.0022401633905246854
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,12,320,batch_time,0.026881960686296225
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,12,640,ave_time,0.006533662332609917
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,12,640,batch_time,0.078403947991319
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,12,1088,ave_time,0.017586008490373693
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,12,1088,batch_time,0.2110321018844843
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,16,320,ave_time,0.00215026381338248
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,16,320,batch_time,0.03440422101411968
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,16,640,ave_time,0.0065433766751084475
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,16,640,batch_time,0.10469402680173516
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,16,1088,ave_time,0.01789712052413961
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,16,1088,batch_time,0.28635392838623375
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,20,320,ave_time,0.002130706384778023
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,20,320,batch_time,0.04261412769556046
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,20,640,ave_time,0.006481113530462608
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,20,640,batch_time,0.12962227060925216
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,20,1088,ave_time,0.017789657724788414
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8l,20,1088,batch_time,0.35579315449576826
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,1,320,ave_time,0.00604450220707804
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,1,320,batch_time,0.00604450220707804
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,1,640,ave_time,0.014005064009688794
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,1,640,batch_time,0.014005064009688794
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,1,1088,ave_time,0.033556989300996064
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,1,1088,batch_time,0.033556989300996064
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,2,320,ave_time,0.004502580896951258
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,2,320,batch_time,0.009005161793902516
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,2,640,ave_time,0.01199332675896585
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,2,640,batch_time,0.0239866535179317
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,2,1088,ave_time,0.029806402698159217
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,2,1088,batch_time,0.059612805396318434
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,4,320,ave_time,0.0035945754731073975
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,4,320,batch_time,0.01437830189242959
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,4,640,ave_time,0.011461016075918451
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,4,640,batch_time,0.045844064303673805
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,4,1088,ave_time,0.032044271397171545
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,4,1088,batch_time,0.12817708558868618
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,8,320,ave_time,0.003370081237517297
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,8,320,batch_time,0.026960649900138377
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,8,640,ave_time,0.011286244200891814
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,8,640,batch_time,0.09028995360713452
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,8,1088,ave_time,0.031123767886310817
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,8,1088,batch_time,0.24899014309048653
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,12,320,ave_time,0.0035001779751231274
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,12,320,batch_time,0.042002135701477525
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,12,640,ave_time,0.01083713275923704
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,12,640,batch_time,0.1300455931108445
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,12,1088,ave_time,0.027808140732425574
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,12,1088,batch_time,0.3336976887891069
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,16,320,ave_time,0.0032884440370253287
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,16,320,batch_time,0.05261510459240526
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,16,640,ave_time,0.010214999287563841
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,16,640,batch_time,0.16343998860102146
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,16,1088,ave_time,0.028189072544046213
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,16,1088,batch_time,0.4510251607047394
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,20,320,ave_time,0.0032573215395677833
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,20,320,batch_time,0.06514643079135567
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,20,640,ave_time,0.010063452819595113
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,20,640,batch_time,0.20126905639190226
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,20,1088,ave_time,0.028389245565049348
NVIDIA GeForce RTX 3090 Ti,.pt,yolov8x,20,1088,batch_time,0.567784911300987
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,1,320,ave_time,0.002939339308068156
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,1,320,batch_time,0.002939339308068156
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,1,640,ave_time,0.0036056376062333583
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,1,640,batch_time,0.0036056376062333583
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,1,1088,ave_time,0.00603602051269263
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,1,1088,batch_time,0.00603602051269263
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,2,320,ave_time,0.0018885019468143581
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,2,320,batch_time,0.0037770038936287163
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,2,640,ave_time,0.00293977385153994
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,2,640,batch_time,0.00587954770307988
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,2,1088,ave_time,0.0056479006540030244
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,2,1088,batch_time,0.011295801308006049
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,4,320,ave_time,0.0013369617285206915
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,4,320,batch_time,0.005347846914082766
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,4,640,ave_time,0.002439264574786648
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,4,640,batch_time,0.009757058299146592
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,4,1088,ave_time,0.005340368649922311
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,4,1088,batch_time,0.021361474599689245
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,8,320,ave_time,0.001035819810931571
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,8,320,batch_time,0.008286558487452567
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,8,640,ave_time,0.0022390290250768885
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,8,640,batch_time,0.017912232200615108
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,8,1088,ave_time,0.005185735522536561
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,8,1088,batch_time,0.04148588418029249
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,12,320,ave_time,0.000997422233922407
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,12,320,batch_time,0.011969066807068884
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,12,640,ave_time,0.002255933766718954
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,12,640,batch_time,0.027071205200627446
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,12,1088,ave_time,0.005382243175214777
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,12,1088,batch_time,0.06458691810257733
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,16,320,ave_time,0.0009620808370527812
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,16,320,batch_time,0.015393293392844499
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,16,640,ave_time,0.0021590004631434566
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,16,640,batch_time,0.034544007410295306
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,16,1088,ave_time,0.0054048120553488845
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,16,1088,batch_time,0.08647699288558215
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,20,320,ave_time,0.0009517994301859289
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,20,320,batch_time,0.01903598860371858
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,20,640,ave_time,0.0021697530848905446
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,20,640,batch_time,0.04339506169781089
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,20,1088,ave_time,0.005328576185274869
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8n,20,1088,batch_time,0.10657152370549738
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,1,320,ave_time,0.0031207466032356023
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,1,320,batch_time,0.0031207466032356023
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,1,640,ave_time,0.00461136088706553
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,1,640,batch_time,0.00461136088706553
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,1,1088,ave_time,0.009093419113196433
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,1,1088,batch_time,0.009093419113196433
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,2,320,ave_time,0.0022305754479020833
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,2,320,batch_time,0.004461150895804167
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,2,640,ave_time,0.003868090093601495
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,2,640,batch_time,0.00773618018720299
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,2,1088,ave_time,0.008596728451084345
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,2,1088,batch_time,0.01719345690216869
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,4,320,ave_time,0.001549045997671783
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,4,320,batch_time,0.006196183990687132
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,4,640,ave_time,0.003417743422323838
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,4,640,batch_time,0.013670973689295351
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,4,1088,ave_time,0.008228134422097355
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,4,1088,batch_time,0.03291253768838942
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,8,320,ave_time,0.0013398065260844306
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,8,320,batch_time,0.010718452208675445
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,8,640,ave_time,0.0032452469866257163
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,8,640,batch_time,0.02596197589300573
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,8,1088,ave_time,0.007945302175357938
NVIDIA GeForce RTX 3090 Ti,-seg.pt,yolov8s,8,1088,batch_time,0.0635624174028635
