batch_size,image_size,value,fps,t_network,t_queue,throughput/100,te2e
20,320,3.2573215395677,120,14.36,79.16666666666666,3.070007022188901,96.78398820623435
20,320,3.2573215395677,180,14.61,52.77777777777778,3.070007022188901,70.64509931734548
20,320,3.2573215395677,240,12.23,39.58333333333333,3.070007022188901,55.07065487290103
20,320,3.2573215395677,300,,31.666666666666668,3.070007022188901,
20,320,3.2573215395677,360,8.89,26.38888888888889,3.070007022188901,38.53621042845659
20,320,3.2573215395677,420,8.87,22.619047619047617,3.070007022188901,34.746369158615316
20,320,3.2573215395677,480,7.46,19.791666666666664,3.070007022188901,30.508988206234363
20,320,3.2573215395677,540,7.97,17.592592592592595,3.070007022188901,28.819914132160292
20,320,3.2573215395677,600,8.28,15.833333333333334,3.070007022188901,27.370654872901035
20,320,3.2573215395677,660,8.25,14.393939393939394,3.070007022188901,25.901260933507096
20,320,3.2573215395677,720,8.01,13.194444444444445,3.070007022188901,24.461765984012146
20,320,3.2573215395677,780,7.77,12.179487179487179,3.070007022188901,23.206808719054877
20,320,3.2573215395677,840,7.85,11.309523809523808,3.070007022188901,22.41684534909151
20,320,3.2573215395677,900,8.05,10.555555555555555,3.070007022188901,21.862877095123256
